PREMIÈRE PARTIE	PREMIÈRE PARTIE
et l’Octave de Minucius Félix présente le beau tableau d’un chrétien et de deux idolâtres qui s’entretiennent de la religion et de la nature de Dieu en se promenant au bord de la mer[3].	et l'Octave de Minucius Félix présente le beau tableau d'un chrétien et de deux idolâtres qui s'entretiennent de la religion et de la nature de Dieu en se promenant au bord de la mer[3].
Arnobe le rhéteur, Lactance, Eusèbe, saint Cyprien, ont aussi défendu le christianisme;	Arnobe le rhéteur, Lactance, Eusèbe, saint Cyprien, ont aussi défendu le christianisme;
mais ils se sont moins attachés à en relever la beauté qu’à développer les absurdités de l’idolâtrie.	mais ils se sont moins attachés à en relever la beauté qu'à développer les absurdités de l'idolâtrie.
Origène combattit les sophistes;	Origène combattit les sophistes;
il semble avoir eu l’avantage de l’érudition, du raisonnement et du style, sur Celse, son adversaire. Le grec d’Origène est singulièrement doux;	il semble avoir eu l'avantage de l'érudition, du raisonnement et du style, sur Celse, son adversaire. Le grec d'Origène est singulièrement doux;
il est cependant mêlé d’hébraïsmes et de tours étrangers, comme il arrive assez souvent aux écrivains qui possèdent plusieurs langues.	il est cependant mêlé d'hébraïsmes et de tours étrangers, comme il arrive assez souvent aux écrivains qui possèdent plusieurs langues.
L’Église, sous l’empereur Julien, fut exposée à une persécution du caractère le plus dangereux. On n’employa pas la violence contre les chrétiens, mais on leur prodigua le mépris.	L'Église, sous l'empereur Julien, fut exposée à une persécution du caractère le plus dangereux. On n'employa pas la violence contre les chrétiens, mais on leur prodigua le mépris.
On commença par dépouiller les autels;	On commença par dépouiller les autels;
on défendit ensuite aux fidèles d’enseigner et d’étudier les lettres[4].	on défendit ensuite aux fidèles d'enseigner et d'étudier les lettres[4].
Mais l’empereur, sentant l’avantage des institutions chrétiennes, voulut, en les abolissant, les imiter:	Mais l'empereur, sentant l'avantage des institutions chrétiennes, voulut, en les abolissant, les imiter:
il fonda des hôpitaux et des monastères, et, à l’instar du culte évangélique, il essaya d’unir la morale à la religion, en faisant prononcer des espèces de sermons dans les temples[5].	il fonda des hôpitaux et des monastères, et, à l'instar du culte évangélique, il essaya d'unir la morale à la religion, en faisant prononcer des espèces de sermons dans les temples[5].
Les sophistes dont Julien étoit environné se déchaînèrent contre le christianisme;	Les sophistes dont Julien était environné se déchaînèrent contre le christianisme;
Julien même ne dédaigna pas de se mesurer avec les galiléens.	Julien même ne dédaigna pas de se mesurer avec les galiléens.
L’ouvrage qu’il écrivit contre eux ne nous est pas parvenu;	L'ouvrage qu'il écrivit contre eux ne nous est pas parvenu;
mais saint Cyrille, patriarche d’Alexandrie, en cite des fragments dans	mais saint Cyrille, patriarche d'Alexandrie, en cite des fragments dans
Eus., lib. IV. 3; Hieronim., Epist. 80; Fleury, Hist. eccl., t. I;	Eus., lib. IV. 3; Hieronim., Epist. 80; Fleury, Hist. eccl., t. I;
Tillemont. Mém. pour l’Hist. eccl., t. II.	Tillemont. Mém. pour l'Hist. eccl., t. II.
Just.	Just.
Voyez, avec les auteurs cités ci-dessus, Dupin, Dom Cellier, et l’élégante traduction des anciens Apologistes, par M. l’abbé de Gourcy.	Voyez, avec les auteurs cités ci-dessus, Dupin, Dom Cellier, et l'élégante traduction des anciens Apologistes, par M. l'abbé de Gourcy.
Soc. 3, cap. XII;	Soc. 3, cap. XII;
Greg. Naz., 3, pages 51-97, etc.	Greg. Naz., 3, pages 51-97, etc.
Voyez Fleury, Hist. eccl.	Voyez Fleury, Hist. eccl.
la réfutation qu’il en a faite et que nous avons encore.	la réfutation qu'il en a faite et que nous avons encore.
Lorsque Julien est sérieux, saint Cyrille triomphe du philosophe;	Lorsque Julien est sérieux, saint Cyrille triomphe du philosophe;
mais lorsque l’empereur a recours à l’ironie, le patriarche perd ses avantages.	mais lorsque l'empereur a recours à l'ironie, le patriarche perd ses avantages.
Le style de Julien est vif, animé, spirituel;	Le style de Julien est vif, animé, spirituel;
saint Cyrille s’emporte, il est bizarre, obscur et contourné.	saint Cyrille s'emporte, il est bizarre, obscur et contourné.
Depuis Julien jusqu’à Luther, l’Église, dans toute sa force, n’eut plus besoin d’apologistes.	Depuis Julien jusqu'à Luther, l'Église, dans toute sa force, n'eut plus besoin d'apologistes.
Quand le schisme d’Occident se forma, avec les nouveaux ennemis parurent de nouveaux défenseurs.	Quand le schisme d'Occident se forma, avec les nouveaux ennemis parurent de nouveaux défenseurs.
Il le faut avouer, les protestants eurent d’abord la supériorité sur les catholiques, du moins par les formes, comme le remarque Montesquieu.	Il le faut avouer, les protestants eurent d'abord la supériorité sur les catholiques, du moins par les formes, comme le remarque Montesquieu.
Érasme même fut foible contre Luther, et Théodore de Bèze eut une légèreté de style qui manqua trop souvent à ses adversaires.	Érasme même fut faible contre Luther, et Théodore de Bèze eut une légèreté de style qui manqua trop souvent à ses adversaires.
Mais, lorsque Bossuet descendit dans la carrière, la victoire ne demeura pas longtemps indécise;	Mais, lorsque Bossuet descendit dans la carrière, la victoire ne demeura pas longtemps indécise;
l’hydre de l’hérésie fut de nouveau terrassée.	l'hydre de l'hérésie fut de nouveau terrassée.
L’Histoire des Variations et l’Exposition de la Doctrine catholique sont deux chefs-d’œuvre qui passeront à la postérité.	L'Histoire des Variations et l'Exposition de la Doctrine catholique sont deux chefs-d'œuvre qui passeront à la postérité.
Il est naturel que le schisme mène à l’incrédulité, et que l’athéisme suive l’hérésie. Bayle et Spinoza s’élevèrent après Calvin;	Il est naturel que le schisme mène à l'incrédulité, et que l'athéisme suive l'hérésie. Bayle et Spinoza s'élevèrent après Calvin;
ils trouvèrent dans Clarke et Leibnitz deux génies capables de réfuter leurs sophismes. Abbadie écrivit en faveur de la religion une apologie remarquable par la méthode et le raisonnement.	ils trouvèrent dans Clarke et Leibniz deux génies capables de réfuter leurs sophismes. Abbadie écrivit en faveur de la religion une apologie remarquable par la méthode et le raisonnement.
Malheureusement le style en est foible, quoique les pensées n’y manquent pas d’un certain éclat.	Malheureusement le style en est faible, quoique les pensées n'y manquent pas d'un certain éclat.
«Si les philosophes anciens, dit Abbadie, adoraient les vertus, ce n’étoit après tout qu’une belle idolâtrie.»	«Si les philosophes anciens, dit Abbadie, adoraient les vertus, ce n'était après tout qu'une belle idolâtrie.»
Tandis que l’Église triomphoit encore, déjà Voltaire faisoit renaître la persécution de Julien.	Tandis que l'Église triomphait encore, déjà Voltaire faisait renaître la persécution de Julien.
Il eut l’art funeste, chez un peuple capricieux et aimable, de rendre l’incrédulité à la mode.	Il eut l'art funeste, chez un peuple capricieux et aimable, de rendre l'incrédulité à la mode.
Il enrôla tous les amours-propres dans cette ligue insensée;	Il enrôla tous les amours-propres dans cette ligue insensée;
la religion fut attaquée avec toutes les armes, depuis le pamphlet jusqu’à l’in-folio, depuis l’épigramme jusqu’au sophisme.	la religion fut attaquée avec toutes les armes, depuis le pamphlet jusqu'à l'in-folio, depuis l'épigramme jusqu'au sophisme.
Un livre religieux paroissoit-il, l’auteur étoit à l’instant couvert de ridicule, tandis qu’on portoit aux nues des ouvrages dont Voltaire étoit le premier à se moquer avec ses amis:	Un livre religieux paraissait-il, l'auteur était à l'instant couvert de ridicule, tandis qu'on portait aux nues des ouvrages dont Voltaire était le premier à se moquer avec ses amis:
il étoit si supérieur à ses disciples, qu’il ne pouvoit s’empêcher de rire quelquefois de leur enthousiasme irréligieux.	il était si supérieur à ses disciples, qu'il ne pouvait s'empêcher de rire quelquefois de leur enthousiasme irréligieux.
Cependant le système destructeur alloit s’étendant sur la France.	Cependant le système destructeur allait s'étendant sur la France.
Il s’établissoit dans ces académies de province, qui ont été autant de foyers de mauvais goût et de factions.	Il s'établissait dans ces académies de province, qui ont été autant de foyers de mauvais goût et de factions.
Des femmes de la société, de graves philosophes, avoient leurs chaires d’incrédulité.	Des femmes de la société, de graves philosophes, avaient leurs chaires d'incrédulité.
Enfin, il fut reconnu que le christianisme n’étoit qu’un système barbare, dont la chute ne pouvoit arriver trop tôt pour la liberté des hommes, le progrès des lumières, les douceurs de la vie et l’élégance des arts.	Enfin, il fut reconnu que le christianisme n'était qu'un système barbare, dont la chute ne pouvait arriver trop tôt pour la liberté des hommes, le progrès des lumières, les douceurs de la vie et l'élégance des arts.
Sans parler de l’abîme où ces principes nous ont plongés, les conséquences immédiates de cette haine contre l’Évangile furent un retour plus affecté que sincère vers ces dieux de Rome et de la Grèce, auxquels on attribua les miracles de l’antiquité[1].	Sans parler de l'abîme où ces principes nous ont plongés, les conséquences immédiates de cette haine contre l'Évangile furent un retour plus affecté que sincère vers ces dieux de Rome et de la Grèce, auxquels on attribua les miracles de l'antiquité[1].
On ne fut point honteux de regretter ce culte, qui ne faisoit du genre humain qu’un troupeau d’insensés, d’impudiques, ou de bêtes féroces.	On ne fut point honteux de regretter ce culte, qui ne faisait du genre humain qu'un troupeau d'insensés, d'impudiques, ou de bêtes féroces.
On dut nécessairement arriver de là au mépris des écrivains du siècle de Louis XIV, qui ne s’élevèrent toutefois à une si haute perfection que parce qu’ils furent religieux.	On dut nécessairement arriver de là au mépris des écrivains du siècle de Louis XIV, qui ne s'élevèrent toutefois à une si haute perfection que parce qu'ils furent religieux.
Si l’on n’osa pas les heurter de front, à cause de l’autorité de leur renommée, on les attaqua d’une manière indirecte.	Si l'on n'osa pas les heurter de front, à cause de l'autorité de leur renommée, on les attaqua d'une manière indirecte.
On fit entendre qu’ils avoient été secrètement incrédules, ou que du moins ils fussent devenus de bien plus grands hommes, s’ils avoient vécu de nos jours.	On fit entendre qu'ils avaient été secrètement incrédules, ou que du moins ils fussent devenus de bien plus grands hommes, s'ils avaient vécu de nos jours.
Chaque auteur bénit son destin de l’avoir fait naître dans le beau siècle des Diderot et des d’Alembert, dans ce siècle où les documents de la sagesse humaine étoient rangés par ordre alphabétique dans l’Encyclopédie, cette Babel des sciences et de la raison[2].	Chaque auteur bénit son destin de l'avoir fait naître dans le beau siècle des Diderot et des d'Alembert, dans ce siècle où les documents de la sagesse humaine étaient rangés par ordre alphabétique dans l'Encyclopédie, cette Babel des sciences et de la raison[2].
Des hommes d’une grande doctrine et d’un esprit distingué essayèrent de s’opposer à ce torrent;	Des hommes d'une grande doctrine et d'un esprit distingué essayèrent de s'opposer à ce torrent;
mais leur résistance fut inutile:	mais leur résistance fut inutile:
leur voix se perdit dans la foule, et leur victoire fut ignorée d’un monde frivole, qui cependant dirigeoit la France, et que par cette raison il étoit nécessaire de toucher[3].	leur voix se perdit dans la foule, et leur victoire fut ignorée d'un monde frivole, qui cependant dirigeait la France, et que par cette raison il était nécessaire de toucher[3].
Ainsi cette fatalité qui avoit fait triompher les sophistes sous Julien se déclara pour eux dans notre siècle.	Ainsi cette fatalité qui avait fait triompher les sophistes sous Julien se déclara pour eux dans notre siècle.
Les défenseurs des chrétiens tombèrent dans une faute qui les avoit déjà perdus:	Les défenseurs des chrétiens tombèrent dans une faute qui les avait déjà perdus:
ils ne s’aperçurent pas qu’il ne s’agissoit plus de discuter tel ou tel dogme, puisqu’on rejetoit absolument les bases.	ils ne s'aperçurent pas qu'il ne s'agissait plus de discuter tel ou tel dogme, puisqu'on rejetait absolument les bases.
En parlant de la mission de Jésus-Christ, et remontant de conséquence en conséquence, ils établissoient sans doute fort solidement les vérités de la foi;	En parlant de la mission de Jésus-Christ, et remontant de conséquence en conséquence, ils établissaient sans doute fort solidement les vérités de la foi;
mais cette manière d’argumenter, bonne au XVIIe siècle, lorsque le fond n’étoit point contesté, ne valoit plus rien de nos jours.	mais cette manière d'argumenter, bonne au XVIIe siècle, lorsque le fond n'était point contesté, ne valait plus rien de nos jours.
Il falloit prendre la route contraire:	Il fallait prendre la route contraire:
passer de l’effet à la cause, ne pas prouver que le christianisme est excellent parce qu’il vient de Dieu, mais qu’il vient de Dieu parce qu’il est excellent.	passer de l'effet à la cause, ne pas prouver que le christianisme est excellent parce qu'il vient de Dieu, mais qu'il vient de Dieu parce qu'il est excellent.
C’étoit encore une autre erreur que de s’attacher à répondre sérieusement à des sophistes, espèce d’hommes qu’il est impossible de convaincre, parce qu’ils ont toujours tort.	C'était encore une autre erreur que de s'attacher à répondre sérieusement à des sophistes, espèce d'hommes qu'il est impossible de convaincre, parce qu'ils ont toujours tort.
On oublioit qu’ils ne cherchent	On oubliait qu'ils ne cherchent
Le siècle de Louis XIV aimoit et connoissoit l’antiquité mieux que nous, et il étoit chrétien.	Le siècle de Louis XIV aimait et connaissait l'antiquité mieux que nous, et il était chrétien.
Voyez la note I, à la fin du volume.	Voyez la note I, à la fin du volume.
Les Lettres de quelques Juifs portugais eurent un moment de succès;	Les Lettres de quelques Juifs portugais eurent un moment de succès;
mais elles disparurent bientôt dans le tourbillon irréligieux.	mais elles disparurent bientôt dans le tourbillon irréligieux.
jamais de bonne foi la vérité, et qu’ils ne sont même attachés à leur système qu’en raison du bruit qu’il fait, prêts à en changer demain avec l’opinion.	jamais de bonne foi la vérité, et qu'ils ne sont même attachés à leur système qu'en raison du bruit qu'il fait, prêts à en changer demain avec l'opinion.
Pour n’avoir pas fait cette remarque, on perdit beaucoup de temps et de travail.	Pour n'avoir pas fait cette remarque, on perdit beaucoup de temps et de travail.
Ce n’étaient pas les sophistes qu’il falloit réconcilier à la religion, c’étoit le monde qu’ils égaroient.	Ce n'étaient pas les sophistes qu'il fallait réconcilier à la religion, c'était le monde qu'ils égaraient.
On l’avoit réduit en lui disant que le christianisme étoit un culte né du sein de la barbarie, absurde dans ses dogmes, ridicule dans ses cérémonies, ennemi des arts et des lettres, de la raison et de la beauté;	On l'avait réduit en lui disant que le christianisme était un culte né du sein de la barbarie, absurde dans ses dogmes, ridicule dans ses cérémonies, ennemi des arts et des lettres, de la raison et de la beauté;
un culte qui n’avoit fait que verser le sang, enchaîner les hommes et retarder le bonheur et les lumières du genre humain;	un culte qui n'avait fait que verser le sang, enchaîner les hommes et retarder le bonheur et les lumières du genre humain;
on devoit donc chercher à prouver au contraire que de toutes les religions qui ont jamais existé la religion chrétienne est la plus poétique, la plus humaine, la plus favorable à la liberté, aux arts et aux lettres;	on devait donc chercher à prouver au contraire que de toutes les religions qui ont jamais existé la religion chrétienne est la plus poétique, la plus humaine, la plus favorable à la liberté, aux arts et aux lettres;
que le monde moderne lui doit tout, depuis l’agriculture jusqu’aux sciences abstraites, depuis les hospices pour les malheureux jusqu’aux temples bâtis par Michel-Ange et décorés par Raphaël.	que le monde moderne lui doit tout, depuis l'agriculture jusqu'aux sciences abstraites, depuis les hospices pour les malheureux jusqu'aux temples bâtis par Michel-Ange et décorés par Raphaël.
On devoit montrer qu’il n’y a rien de plus divin que sa morale, rien de plus aimable, de plus pompeux que ses dogmes, sa doctrine et son culte;	On devait montrer qu'il n'y a rien de plus divin que sa morale, rien de plus aimable, de plus pompeux que ses dogmes, sa doctrine et son culte;
on devoit dire qu’elle favorise le génie, épure le goût, développe les passions vertueuses, donne de la vigueur à la pensée, offre des formes nobles à l’écrivain, et des moules parfaits à l’artiste;	on devait dire qu'elle favorise le génie, épure le goût, développe les passions vertueuses, donne de la vigueur à la pensée, offre des formes nobles à l'écrivain, et des moules parfaits à l'artiste;
qu’il n’y a point de honte à croire avec Newton et Bossuet, Pascal et Racine;	qu'il n'y a point de honte à croire avec Newton et Bossuet, Pascal et Racine;
enfin, il falloit appeler tous les enchantements de l’imagination et tous les intérêts du cœur au secours de cette même religion contre laquelle on les avoit armés.	enfin, il fallait appeler tous les enchantements de l'imagination et tous les intérêts du cœur au secours de cette même religion contre laquelle on les avait armés.
Ici le lecteur voit notre ouvrage.	Ici le lecteur voit notre ouvrage.
Les autres genres d’apologies sont épuisés, et peut-être seroient-ils inutiles aujourd’hui.	Les autres genres d'apologies sont épuisés, et peut-être seraient-ils inutiles aujourd'hui.
Qui est-ce qui liroit maintenant un ouvrage de théologie?	Qui est-ce qui lirait maintenant un ouvrage de théologie?
Quelques hommes pieux qui n’ont pas besoin d’être convaincus, quelques vrais chrétiens déjà persuadés.	Quelques hommes pieux qui n'ont pas besoin d'être convaincus, quelques vrais chrétiens déjà persuadés.
Mois n’y a-t-il pas de danger à envisager la religion sous un jour purement humain?	Mois n'y a-t-il pas de danger à envisager la religion sous un jour purement humain?
Et pourquoi?	Et pourquoi?
Notre religion craint-elle la lumière? Une grande preuve de sa céleste origine, c’est qu’elle souffre l’examen le plus sévère et le plus minutieux de la raison.	Notre religion craint-elle la lumière? Une grande preuve de sa céleste origine, c'est qu'elle souffre l'examen le plus sévère et le plus minutieux de la raison.
Veut-on qu’on nous fasse éternellement le reproche de cacher nos dogmes dans une nuit sainte, de peur qu’on n’en découvre la fausseté?	Veut-on qu'on nous fasse éternellement le reproche de cacher nos dogmes dans une nuit sainte, de peur qu'on n'en découvre la fausseté?
Le christianisme sera-t-il moins vrai quand il paroîtra plus beau? 	Le christianisme sera-t-il moins vrai quand il paraîtra plus beau?
Bannissons une frayeur pusillanime;	Bannissons une frayeur pusillanime;
par excès de religion, ne laissons pas la religion périr.	par excès de religion, ne laissons pas la religion périr.
Nous ne sommes plus dans le temps où il étoit bon de dire:	Nous ne sommes plus dans le temps où il était bon de dire:
Croyez, et n’examinez pas;	Croyez, et n'examinez pas;
on examinera malgré nous;	on examinera malgré nous;
et notre silence timide, en augmentant le triomphe des incrédules, diminuera le nombre des fidèles.	et notre silence timide, en augmentant le triomphe des incrédules, diminuera le nombre des fidèles.
Il est temps qu’on sache enfin à quoi se réduisent ces reproches d’absurdité, de grossièreté, de petitesse, qu’on fait tous les jours au christianisme;	Il est temps qu'on sache enfin à quoi se réduisent ces reproches d'absurdité, de grossièreté, de petitesse, qu'on fait tous les jours au christianisme;
il est temps de montrer que, loin de rapetisser la pensée, il se prête merveilleusement aux élans de l’âme, et peut enchanter l’esprit aussi divinement que les dieux de Virgile et d’Homère.	il est temps de montrer que, loin de rapetisser la pensée, il se prête merveilleusement aux élans de l'âme, et peut enchanter l'esprit aussi divinement que les dieux de Virgile et d'Homère.
Nos raisons auront du moins cet avantage qu’elles seront à la portée de tout le monde, et qu’il ne faudra qu’un bon sens pour en juger.	Nos raisons auront du moins cet avantage qu'elles seront à la portée de tout le monde, et qu'il ne faudra qu'un bon sens pour en juger.
On néglige peut-être un peu trop, dans les ouvrages de ce genre, de parler la langue de ses lecteurs:	On néglige peut-être un peu trop, dans les ouvrages de ce genre, de parler la langue de ses lecteurs:
il faut être docteur avec le docteur, et poëte avec le poëte. Dieu ne défend pas les routes fleuries quand elles servent à revenir à lui, et ce n’est pas toujours par les sentiers rudes et sublimes de la montagne que la brebis égarée retourne au bercail.	il faut être docteur avec le docteur, et poète avec le poète. Dieu ne défend pas les routes fleuries quand elles servent à revenir à lui, et ce n'est pas toujours par les sentiers rudes et sublimes de la montagne que la brebis égarée retourne au bercail.
Nous osons croire que cette manière d’envisager le christianisme présente des rapports peu connus:	Nous osons croire que cette manière d'envisager le christianisme présente des rapports peu connus:
sublime par l’antiquité de ses souvenirs, qui remontent au berceau du monde, ineffable dans ses mystères, adorable dans ses sacrements, intéressant dans son histoire, céleste dans sa morale, riche et charmant dans ses pompes, il réclame toutes les sortes de tableaux.	sublime par l'antiquité de ses souvenirs, qui remontent au berceau du monde, ineffable dans ses mystères, adorable dans ses sacrements, intéressant dans son histoire, céleste dans sa morale, riche et charmant dans ses pompes, il réclame toutes les sortes de tableaux.
Voulez-vous le suivre dans la poésie?	Voulez-vous le suivre dans la poésie?
le Tasse, Milton, Corneille, Racine, Voltaire, vous retracent ses miracles.	le Tasse, Milton, Corneille, Racine, Voltaire, vous retracent ses miracles.
Dans les belles-lettres, l’éloquence, l’histoire, la philosophie?	Dans les belles-lettres, l'éloquence, l'histoire, la philosophie?
que n’ont point fait par son inspiration Bossuet, Fénelon, Massillon, Bourdaloue, Bacon, Pascal, Euler, Newton, Leibnitz!	que n'ont point fait par son inspiration Bossuet, Fénelon, Massillon, Bourdaloue, Bacon, Pascal, Euler, Newton, Leibniz!
Dans les arts?	Dans les arts?
que de chefs-d’œuvre!	que de chefs-d'œuvre!
Si vous l’examinez dans son culte, que de choses ne vous disent point et ses vieilles églises gothiques, et ses prières admirables, et ses superbes cérémonies!	Si vous l'examinez dans son culte, que de choses ne vous disent point et ses vieilles églises gothiques, et ses prières admirables, et ses superbes cérémonies!
Parmi son clergé, voyez tous ces hommes qui vous ont transmis la langue et les ouvrages de Rome et de la Grèce, tous ces solitaires de la Thébaïde, tous ces lieux de refuge pour les infortunés, tous ces missionnaires à la Chine, au Canada, au Paraguay, sans oublier les ordres militaires, d’où va naître la chevalerie!	Parmi son clergé, voyez tous ces hommes qui vous ont transmis la langue et les ouvrages de Rome et de la Grèce, tous ces solitaires de la Thébaïde, tous ces lieux de refuge pour les infortunés, tous ces missionnaires à la Chine, au Canada, au Paraguay, sans oublier les ordres militaires, d'où va naître la chevalerie!
Mœurs de nos aïeux, peinture des anciens jours, poésie, romans même, choses secrètes de la vie, nous avons tout fait servir à notre cause.	Mœurs de nos aïeux, peinture des anciens jours, poésie, romans même, choses secrètes de la vie, nous avons tout fait servir à notre cause.
Nous demandons des sourires au berceau et des pleurs à la tombe;	Nous demandons des sourires au berceau et des pleurs à la tombe;
tantôt, avec le moine maronite, nous habitons les sommets du Carmel et du Liban;	tantôt, avec le moine maronite, nous habitons les sommets du Carmel et du Liban;
tantôt, avec la fille de la Charité, nous veillons au lit du malade;	tantôt, avec la fille de la Charité, nous veillons au lit du malade;
ici deux époux américains nous appellent au fond de leurs déserts;	ici deux époux américains nous appellent au fond de leurs déserts;
là nous entendons gémir la vierge dans les solitudes du cloître;	là nous entendons gémir la vierge dans les solitudes du cloître;
Homère vient se placer auprès de Milton, Virgile à côté du Tasse;	Homère vient se placer auprès de Milton, Virgile à côté du Tasse;
les ruines de Memphis et d’Athènes contrastent avec les ruines des monuments chrétiens, les tombeaux d’Ossian avec nos cimetières de campagne;	les ruines de Memphis et d'Athènes contrastent avec les ruines des monuments chrétiens, les tombeaux d'Ossian avec nos cimetières de campagne;
à Saint-Denis nous visitons la cendre des rois;	à Saint-Denis nous visitons la cendre des rois;
et quand notre sujet nous force de parler du dogme de l’existence	et quand notre sujet nous force de parler du dogme de l'existence
de Dieu, nous cherchons seulement nos preuves dans les merveilles de la nature;	de Dieu, nous cherchons seulement nos preuves dans les merveilles de la nature;
enfin, nous essayons de frapper au cœur de l’incrédule de toutes les manières, mais nous n’osons nous flatter de posséder cette verge miraculeuse de la religion, qui fait jaillir du rocher les sources d’eau vive.	enfin, nous essayons de frapper au cœur de l'incrédule de toutes les manières, mais nous n'osons nous flatter de posséder cette verge miraculeuse de la religion, qui fait jaillir du rocher les sources d'eau vive.
Quatre parties, divisées chacune en six livres, composent notre ouvrage. La première traite des dogmes et de la doctrine.	Quatre parties, divisées chacune en six livres, composent notre ouvrage. La première traite des dogmes et de la doctrine.
La seconde et la troisième renferment la poétique du christianisme, ou les rapports de cette religion avec la poésie, la littérature et les arts.	La seconde et la troisième renferment la poétique du christianisme, ou les rapports de cette religion avec la poésie, la littérature et les arts.
La quatrième contient le culte, c’est-à-dire tout ce qui concerne les cérémonies de l’Église et tout ce qui regarde le clergé séculier et régulier.	La quatrième contient le culte, c'est-à-dire tout ce qui concerne les cérémonies de l'Église et tout ce qui regarde le clergé séculier et régulier.
Au reste, nous avons souvent rapproché les dogmes et la doctrine des autres cultes des dogmes, de la doctrine et du culte évangéliques:	Au reste, nous avons souvent rapproché les dogmes et la doctrine des autres cultes des dogmes, de la doctrine et du culte évangéliques:
pour satisfaire toutes les classes de lecteurs, nous avons aussi touché de temps en temps la partie historique et mystique de la religion.	pour satisfaire toutes les classes de lecteurs, nous avons aussi touché de temps en temps la partie historique et mystique de la religion.
Maintenant que le lecteur connoît le plan général de l’ouvrage, entrons dans l’examen des Dogmes et de la Doctrine;	Maintenant que le lecteur connaît le plan général de l'ouvrage, entrons dans l'examen des Dogmes et de la Doctrine;
et, afin de passer aux mystères chrétiens, commençons par nous enquérir de la nature des choses mystérieuses.	et, afin de passer aux mystères chrétiens, commençons par nous enquérir de la nature des choses mystérieuses.
CHAPITRE II.	CHAPITRE II.
De la nature du Mystère	De la nature du Mystère
Il n’est rien de beau, de doux, de grand dans la vie, que les choses mystérieuses.	Il n'est rien de beau, de doux, de grand dans la vie, que les choses mystérieuses.
Les sentiments les plus merveilleux sont ceux qui nous agitent un peu confusément:	Les sentiments les plus merveilleux sont ceux qui nous agitent un peu confusément:
la pudeur, l’amour chaste, l’amitié vertueuse, sont pleins de secrets.	la pudeur, l'amour chaste, l'amitié vertueuse, sont pleins de secrets.
On diroit que les cœurs qui s’aiment s’entendent à demi-mot, et qu’ils ne sont que comme entr’ouverts.	On dirait que les cœurs qui s'aiment s'entendent à demi-mot, et qu'ils ne sont que comme entr'ouverts.
