AVANT-PROPOS.	AVANT-PROPOS.
Thomas Rhoé, ambasadeur d’Angleterre auprès de Sélim-Cha, empereur du Mogol, rapporte que ce prince très-despotique ayant fait ouvrir devant lui des coffres qui arrivoient d’Angleterre, afin d’y prendre quelques présens qui lui étoient destinés, fut fort surpris d’y trouver un tableau représentant un Satyre qu’une Vénus menoit par le nez.	Thomas Rhoé, ambassadeur d'Angleterre auprès de Sélim-Cha, empereur du Mogol, rapporte que ce prince très-despotique ayant fait ouvrir devant lui des coffres qui arrivaient d'Angleterre, afin d'y prendre quelques présents qui lui étaient destinés, fut fort surpris d'y trouver un tableau représentant un Satyre qu'une Vénus menait par le nez.
«Il s’imagina, dit-il, que «cette peinture étoit faite en dé «rision des peuples de l’Asie, qu’ils «y étoient figurés par le satyre « noir et cornu, comme étant d’une «même complexion;	«Il s'imagina, dit-il, que «cette peinture était faite en dé «rision des peuples de l'Asie, qu'ils «y étaient figurés par le satyre «noir et cornu, comme étant d'une «même complexion;
et que la « Vénus qui menoit le Satyre par « le nez, représentoit le grand em« pire que les femmes de ce pays« là ont sur les hommes.» Thomas Rhoé à qui ce tableau étoit adressé, eut bien de la peine à en détruire l’effet dans l’esprit du Mogol, en lui donnant une idée de nos fables ;	et que la «Vénus qui menait le Satyre par «le nez, représentait le grand em« pire que les femmes de ce pays« là ont sur les hommes.» Thomas Rhoé à qui ce tableau était adressé, eut bien de la peine à en détruire l'effet dans l'esprit du Mogol, en lui donnant une idée de nos fables;
il recommande à cette occasion bien expressément aux directeurs de la compagnie des Indes en Angleterre, de n’envoyer à l’avenir aucune peinture allégorique aux Indes, parce que les princes, dit-il, y sont très-soupçonneux.	il recommande à cette occasion bien expressément aux directeurs de la compagnie des Indes en Angleterre, de n'envoyer à l'avenir aucune peinture allégorique aux Indes, parce que les princes, dit-il, y sont très-soupçonneux.
C’est en effet le caractère des despotes.	C'est en effet le caractère des despotes.
Je crois donc que nulle part les fables n’ont été imaginées pour eux, si ce n’est pour les flatter.	Je crois donc que nulle part les fables n'ont été imaginées pour eux, si ce n'est pour les flatter.
En genéral, le goût pour les fables est répandu par toute la terre, mais bien plus dans les pays libres que dans les despotiques.	En général, le goût pour les fables est répandu par toute la terre, mais bien plus dans les pays libres que dans les despotiques.
Les peuples sauvages fondent leurs traditions sur des fables ;	Les peuples sauvages fondent leurs traditions sur des fables;
il n’y a point de pays où elles aient été plus communes que dans la Grèce, où tous les objets de la nature, de la politique et de la religion, n’étoient que des résultats de quelques métamorphoses.	il n'y a point de pays où elles aient été plus communes que dans la Grèce, où tous les objets de la nature, de la politique et de la religion, n'étaient que des résultats de quelques métamorphoses.
Il y avoit peu de familles illustres qui n'eût quelque animal au nombre de ses ancêtres, et qui ne comptât parmi ses cousins ou ses cousines, des taureaux, des cygnes, des rossignols, des tourterelles , des corneilles ou des pies.	Il y avait peu de familles illustres qui n'eût quelque animal au nombre de ses ancêtres, et qui ne comptât parmi ses cousins ou ses cousines, des taureaux, des cygnes, des rossignols, des tourterelles, des corneilles ou des pies.
On peut observer que les Anglois, dans leur littérature, ont un goût particulier pour l’allégorie, quoique la vérité puisse se dire chez eux fort librement.	On peut observer que les Anglais, dans leur littérature, ont un goût particulier pour l'allégorie, quoique la vérité puisse se dire chez eux fort librement.
Les Asiatiques ont été dans le même cas, du temps d’Esope et de Lockman ;	Les Asiatiques ont été dans le même cas, du temps d'Ésope et de Luqman;
mais on ne trouve plus aujourd’hui chez eux de fabulistes, quoique leur pays soit rempli de Sultans.	mais on ne trouve plus aujourd'hui chez eux de fabulistes, quoique leur pays soit rempli de Sultans.
Ce sont les peuples les plus rapprochés de la nature, et par conséquent les plus libres, qui ont le plus aimé à orner la vérité de fables :	Ce sont les peuples les plus rapprochés de la nature, et par conséquent les plus libres, qui ont le plus aimé à orner la vérité de fables:
c’est par un effet de l’amour même de la vérité, qui est le sentiment des lois de la nature.	c'est par un effet de l'amour même de la vérité, qui est le sentiment des lois de la nature.
La vérité est la lumière de l’ame, comme la lumière physique est la vérité des corps.	La vérité est la lumière de l'âme, comme la lumière physique est la vérité des corps.
L’une et l’autre réunies donnent la science de ce qui est :	L'une et l'autre réunies donnent la science de ce qui est:
celle-ci éclaire les objets, celle-là nous en montre les convenances;	celle-ci éclaire les objets, celle-là nous en montre les convenances;
et, comme dans le principe toute lumière tire son origine du soleil, toute vérité tire la sienne de Dieu, dont cet astre est la plus sensible image.	et, comme dans le principe toute lumière tire son origine du soleil, toute vérité tire la sienne de Dieu, dont cet astre est la plus sensible image.
Peu d’hommes peuvent supporter la lumière pure du soleil.	Peu d'hommes peuvent supporter la lumière pure du soleil.
C’est à cause de la foiblesse de nos yeux, que la nature nous a donné des paupières pour les voiler au degré qui nous convient ;	C'est à cause de la faiblesse de nos yeux, que la nature nous a donné des paupières pour les voiler au degré qui nous convient;
qu’elle a planté la terre de forêts, dont les feuillages verts nous offrent des ombrages doux et transparens ;	qu'elle a planté la terre de forêts, dont les feuillages verts nous offrent des ombrages doux et transparents;
et qu’elle répand dans les cieux des vapeurs et des nuages, pour affoiblir les rayons trop vifs de l’astre du jour.	et qu'elle répand dans les cieux des vapeurs et des nuages, pour affaiblir les rayons trop vifs de l'astre du jour.
Peu d’hommes aussi peuvent saisir les vérités purement métaphysiques.	Peu d'hommes aussi peuvent saisir les vérités purement métaphysiques.
C’est à cause de la foiblesse de notre intelligence, que la nature nous a donné l’ignorance pour servir de paupière à notre ame :	C'est à cause de la faiblesse de notre intelligence, que la nature nous a donné l'ignorance pour servir de paupière à notre âme:
c’est par son moyen que l’ame s’ouvre par degrés à la vérité, qu’elle n’en admet que ce qu’elle en peut supporter, qu’elle s’entoure de fables qui sont comme autant de berceaux, à l’ombre desquels elle la contemple ;	c'est par son moyen que l'âme s'ouvre par degrés à la vérité, qu'elle n'en admet que ce qu'elle en peut supporter, qu'elle s'entoure de fables qui sont comme autant de berceaux, à l'ombre desquels elle la contemple;
et lorsqu’elle veut s’élever jusqu’à la Divinité même, elle la voile d’allégories et de mystères pour en soutenir l’éclat.	et lorsqu'elle veut s'élever jusqu'à la Divinité même, elle la voile d'allégories et de mystères pour en soutenir l'éclat.
Nous ne verrions pas la lumière du soleil, si elle ne s'arrêtoit sur des corps, ou au moins sur des nuages.	Nous ne verrions pas la lumière du soleil, si elle ne s'arrêtait sur des corps, ou au moins sur des nuages.
Elle nous échappe hors de notre atmosphère, et nous éblouit à sa source.	Elle nous échappe hors de notre atmosphère, et nous éblouit à sa source.
Il en est de même de la vérité ;	Il en est de même de la vérité;
nous ne la saisirions pas si elle ne se fixoit sur des événemens sensibles, ou au moins sur des métaphores et des comparaisons qui la réfléchissent ;	nous ne la saisirions pas si elle ne se fixait sur des événements sensibles, ou au moins sur des métaphores et des comparaisons qui la réfléchissent;
il lui faut un corps qui la renvoie.	il lui faut un corps qui la renvoie.
Notre entendement n’a point de prise sur les vérités purement métaphysiques;	Notre entendement n'a point de prise sur les vérités purement métaphysiques;
il est ébloui par celles qui émanent de la Divinité, et il ne peut saisir celles qui ne se reposent pas sur ses ouvrages.	il est ébloui par celles qui émanent de la Divinité, et il ne peut saisir celles qui ne se reposent pas sur ses ouvrages.
C’est par cette dernière raison que le langage des peuples civilisés ne peint rien, parce qu’il est plein d’idées vagues et d’abstractions ;	C'est par cette dernière raison que le langage des peuples civilisés ne peint rien, parce qu'il est plein d'idées vagues et d'abstractions;
et celui des peuples simples et naturels est très-expresif, parce qu’il est rempli de similitudes et d’images.	et celui des peuples simples et naturels est très-expressif, parce qu'il est rempli de similitudes et d'images.
Les premiers sont habitués à cacher leurs sentimens ;	Les premiers sont habitués à cacher leurs sentiments;
les seconds à les étendre.	les seconds à les étendre.
Mais comme souvent les nuages dispersés sous mille formes phantastiques , décomposent les rayons du soleil en teintes plus riches et plus variées que celles qui colorent les ouvrages réguliers de la nature, ainsi les fables réfléchissent la vérité avec plus d’étendue que les événemens réels ;	Mais comme souvent les nuages dispersés sous mille formes fantastiques, décomposent les rayons du soleil en teintes plus riches et plus variées que celles qui colorent les ouvrages réguliers de la nature, ainsi les fables réfléchissent la vérité avec plus d'étendue que les événements réels;
elles la transportent dans tous les règnes ;	elles la transportent dans tous les règnes;
elles l’approprient aux animaux , aux arbres, aux élémens, et en font jaillir mille reflets.	elles l'approprient aux animaux, aux arbres, aux éléments, et en font jaillir mille reflets.
Ainsi les rayons du soleil se jouent, sans s’éteindre, au fond des eaux, y reflettent les objets de la terre et des cieux , et redoublent leurs beautés par des consonnances.	Ainsi les rayons du soleil se jouent, sans s'éteindre, au fond des eaux, y reflètent les objets de la terre et des cieux, et redoublent leurs beautés par des consonances.
L’ignorance est donc aussi nécessaire à la vérité que l’ombre l’est à la lumière, puisque c’est des premières que se forment les harmonies de notre intelligence, comme des secondes se composent celles de notre vue.	L'ignorance est donc aussi nécessaire à la vérité que l'ombre l'est à la lumière, puisque c'est des premières que se forment les harmonies de notre intelligence, comme des secondes se composent celles de notre vue.
Les moralistes, comme je l’ai déja observé dans mes Etudes, ont presque toujours confondu l’ignorance avec l’erreur.	Les moralistes, comme je l'ai déjà observé dans mes Études, ont presque toujours confondu l'ignorance avec l'erreur.
L’ignorance, à la considérer seule et sans la vérité avec laquelle elle a de si douces harmonies, est le repos de notre intelligence ;	L'ignorance, à la considérer seule et sans la vérité avec laquelle elle a de si douces harmonies, est le repos de notre intelligence;
elle nous fait oublier les maux passés , nous dissimule les présens, et nous cache ceux de l’avenir ;	elle nous fait oublier les maux passés, nous dissimule les présents, et nous cache ceux de l'avenir;
enfin elle est un bien, puisque nous la tenons de la nature :	enfin elle est un bien, puisque nous la tenons de la nature:
l’erreur au contraire est l’ouvrage de l’homme ;	l'erreur au contraire est l'ouvrage de l'homme;
elle est toujours un mal ;	elle est toujours un mal;
c’est une fausse lumière qui luit pour nous égarer.	c'est une fausse lumière qui luit pour nous égarer.
Je ne puis mieux la comparer qu’à la lueur d’un incendie qui dévore les habitations qu’elle éclaire.	Je ne puis mieux la comparer qu'à la lueur d'un incendie qui dévore les habitations qu'elle éclaire.
Il est remarquable qu’il n’y a pas un seul mal moral ou physique qui n’ait pour principe une erreur.	Il est remarquable qu'il n'y a pas un seul mal moral ou physique qui n'ait pour principe une erreur.
Les tyrannies, l’esclavage, les guerres sont fondées sur des erreurs politiques, et même sacrées ;	Les tyrannies, l'esclavage, les guerres sont fondées sur des erreurs politiques, et même sacrées;
car les tyrans qui les ont répandues pour établir leur puissance, les ont toujours dérivées de la Divinité ou de quelque vertu, afin de les faire respecter des hommes.	car les tyrans qui les ont répandues pour établir leur puissance, les ont toujours dérivées de la Divinité ou de quelque vertu, afin de les faire respecter des hommes.
Il est cependant bien facile de distinguer l’erreur de la vérité.	Il est cependant bien facile de distinguer l'erreur de la vérité.
La vérité est une lumière naturelle qui luit d’elle-même par toute la terre, parce qu’elle vient de Dieu ;	La vérité est une lumière naturelle qui luit d'elle-même par toute la terre, parce qu'elle vient de Dieu;
l’erreur est une lueur artificielle qui a besoin sans cesse d’être alimentée, et qui ne peut jamais être universelle, parce qu’elle n’est que l’ouvrage des hommes.	l'erreur est une lueur artificielle qui a besoin sans cesse d'être alimentée, et qui ne peut jamais être universelle, parce qu'elle n'est que l'ouvrage des hommes.
La vérité est utile à tous les hommes ;	La vérité est utile à tous les hommes;
l’erreur n’est profitable qu’à quelquesuns, et est nuisible à tous, parce que l’intérêt particulier est l’ennemi de l’intérêt général, quand il s’en sépare.	l'erreur n'est profitable qu'à quelques-uns, et est nuisible à tous, parce que l'intérêt particulier est l'ennemi de l'intérêt général, quand il s'en sépare.
Il faut bien prendre garde de confondre la fable avec l’erreur.	Il faut bien prendre garde de confondre la fable avec l'erreur.
La fable est le voile de la vérité,	La fable est le voile de la vérité,
