fichier,ligne,mot_suspect,original,modernise
Bossuet1683_OraisonAutriche_btv1b8606962m_numb_seg_replace.tsv,163,regno,"In Theodoſio non Imperatorem, ſed Chriſti ſervum, nec regno, ſed fide Principem prædicamus.","In Theodosio non Imperatorem, sed Christi servum, nec regno, sed fide Principem prædicamus."
Bossuet1683_OraisonAutriche_btv1b8606962m_numb_seg_replace.tsv,163,sed,"In Theodoſio non Imperatorem, ſed Chriſti ſervum, nec regno, ſed fide Principem prædicamus.","In Theodosio non Imperatorem, sed Christi servum, nec regno, sed fide Principem prædicamus."
Bossuet1683_OraisonAutriche_btv1b8606962m_numb_seg_replace.tsv,163,fide,"In Theodoſio non Imperatorem, ſed Chriſti ſervum, nec regno, ſed fide Principem prædicamus.","In Theodosio non Imperatorem, sed Christi servum, nec regno, sed fide Principem prædicamus."
Bossuet1683_OraisonAutriche_btv1b8606962m_numb_seg_replace.tsv,163,Principem,"In Theodoſio non Imperatorem, ſed Chriſti ſervum, nec regno, ſed fide Principem prædicamus.","In Theodosio non Imperatorem, sed Christi servum, nec regno, sed fide Principem prædicamus."
Brebeuf_1660_panegyrique_bpt6k55788204.tsv,82,Avecque,Avecque la victoire eſtoient d’intelligence:,Avecque la victoire étaient d'intelligence:
Bruyere1688_Caracteres_btv1b86070385_corrected_numb_seg_origInReg_replace.tsv,1,IE,IE n’eſtime pas que l'homme ſoit capable de former dans ſon eſprit un projet plus vain &,IE n'estime pas que l'homme soit capable de former dans son esprit un projet plus vain et
Bruyere1688_Caracteres_btv1b86070385_corrected_numb_seg_origInReg_replace.tsv,96,d'Erèse,"Il eſtoit d’Ereſe, ville de Leſbos, fils d’un Foulon;","Il était d'Erèse, ville de Lesbos, fils d'un Foulon;"
Bruyere1688_Caracteres_btv1b86070385_corrected_numb_seg_origInReg_replace.tsv,103,Tyrtame,"de la douceur de ſon élocution, luy changea ſon nom, qui eſtoit Tyrtame en celuy d’Euphraſte, qui ſignifie celuy qui parle bien;","de la douceur de son élocution, lui changea son nom, qui était Tyrtame en celui d'Euphraste, qui signifie celui qui parle bien;"
Bruyere1688_Caracteres_btv1b86070385_corrected_numb_seg_origInReg_replace.tsv,103,d'Euphraste,"de la douceur de ſon élocution, luy changea ſon nom, qui eſtoit Tyrtame en celuy d’Euphraſte, qui ſignifie celuy qui parle bien;","de la douceur de son élocution, lui changea son nom, qui était Tyrtame en celui d'Euphraste, qui signifie celui qui parle bien;"
Bruyere1688_Caracteres_btv1b86070385_corrected_numb_seg_origInReg_replace.tsv,127,d'Erèse,"* Il y en a eû deux autres du meſme nom; l'un Philoſophe cinique, l'autre diſciple de Platon. Theophraſte d’Ereſe, par un eſprit de ménagement pour celuy qu’il vouloit exclure il ſe declara de cette maniere:","* Il y en a eu deux autres du même nom; l'un Philosophe cynique, l'autre disciple de Platon. Théophraste d'Erèse, par un esprit de ménagement pour celui qu'il voulait exclure il se déclara de cette manière:"
Bruyere1688_Caracteres_btv1b86070385_corrected_numb_seg_origInReg_replace.tsv,136,Aulu-Gelle,"Quoy qu'il en ſoit de ce fait qu’on lit dans Aulugelle, il eſt certain que lors qu’Ariſtote accuſé par Eurimedon, Preſtre de Ceres, d’avoir mal parlé des Dieux, craignant le deſtin de Socrate voulut ſortir d’Athenes, &","Quoi qu'il en soit de ce fait qu'on lit dans Aulu-Gelle, il est certain que lorsqu'Aristote accusé par Eurymédon, Prêtre de Cérès, d'avoir mal parlé des Dieux, craignant le destin de Socrate voulut sortir d'Athènes, et"
Bruyere1688_Caracteres_btv1b86070385_corrected_numb_seg_origInReg_replace.tsv,136,lorsqu'Aristote,"Quoy qu'il en ſoit de ce fait qu’on lit dans Aulugelle, il eſt certain que lors qu’Ariſtote accuſé par Eurimedon, Preſtre de Ceres, d’avoir mal parlé des Dieux, craignant le deſtin de Socrate voulut ſortir d’Athenes, &","Quoi qu'il en soit de ce fait qu'on lit dans Aulu-Gelle, il est certain que lorsqu'Aristote accusé par Eurymédon, Prêtre de Cérès, d'avoir mal parlé des Dieux, craignant le destin de Socrate voulut sortir d'Athènes, et"
Bruyere1688_Caracteres_btv1b86070385_corrected_numb_seg_origInReg_replace.tsv,137,Calcis,"ſe retirer à Calcis, ville d’Eubée, il abandonna ſon Ecole au Leſbien, luy confia ſes écrits, à condition de les tenir ſecrets;","se retirer à Calcis, ville d'Eubée, il abandonna son École au Lesbien, lui confia ses écrits, à condition de les tenir secrets;"
Bruyere1688_Caracteres_btv1b86070385_corrected_numb_seg_origInReg_replace.tsv,137,d'Eubée,"ſe retirer à Calcis, ville d’Eubée, il abandonna ſon Ecole au Leſbien, luy confia ſes écrits, à condition de les tenir ſecrets;","se retirer à Calcis, ville d'Eubée, il abandonna son École au Lesbien, lui confia ses écrits, à condition de les tenir secrets;"
Bruyere1688_Caracteres_btv1b86070385_corrected_numb_seg_origInReg_replace.tsv,141,d'Amphiclide,"* Un autre que le Poëte tragique. Il excita l’envie de * Sophocle fils d’Amphiclide, &","* Un autre que le Poète tragique. Il excita l'envie de * Sophocle fils d'Amphiclide, et"
Bruyere1688_Caracteres_btv1b86070385_corrected_numb_seg_origInReg_replace.tsv,148,Agnonide,"Plus heureux qu’Ariſtote qui avoit eſté contraint de ceder à Eurimedon, il fut ſur le point de voir un certain Agnonide puni comme impie par les Atheniens, ſeulement à cauſe qu’il avoit oſé l’accuſer d’impieté;","Plus heureux qu'Aristote qui avait été contraint de céder à Eurymédon, il fut sur le point de voir un certain Agnonide puni comme impie par les Athéniens, seulement à cause qu'il avait osé l'accuser d'impiété;"
Bruyere1688_Caracteres_btv1b86070385_corrected_numb_seg_origInReg_replace.tsv,152,Erése,"Ainſi au rapport de Plutarque, lorſque Ereſe fut accablée de Tyrans qui avoient uſurpé la domination de leur païs il ſe joignit à * Phydias ſon compatriote, contribua avec luy de ſes biens pour armer les bannis qui rentrerent dans leur ville, en chaſſerent les traîtres, &","Ainsi au rapport de Plutarque, lorsque Erése fut accablée de Tyrans qui avaient usurpé la domination de leur pays il se joignit à * Phydias son compatriote, contribua avec lui de ses biens pour armer les bannis qui rentrèrent dans leur ville, en chassèrent les traîtres, et"
Bruyere1688_Caracteres_btv1b86070385_corrected_numb_seg_origInReg_replace.tsv,158,Lagus,"Ptolomée, fils de Lagus &","Ptolémée, fils de Lagus et"
Bruyere1688_Caracteres_btv1b86070385_corrected_numb_seg_origInReg_replace.tsv,181,J'Ai,"J’Ay admiré ſouvent, &","J'Ai admiré souvent, et"
Bussy1665_HistoireAmoureuse_btv1b8623309s_corrected_numb_seg_origInReg_replace.tsv,1,SOus,"SOubs le regne de Theodate la guerre qui duroit depuis vingt ans n’empeſchoit point qu’on ne fiſt quelquefois l’amour, mais comme la Cour eſtoit remplie de vieux Cavalliers inſenſibles, ou de jeunes gens nés dans le bruit des armées & que ce meſtier avoit rendu brutaux, cela avoit fait la plus part des Dames un peu moins modeſtes qu’autrefois, & voyant qu’elles euſſent langui dans l'oiſiveté, ſi elles n’euſſent fait des advances, ou du moins ſi elles avoient eſté cruelles, il y en avoit beaucoup de pitoyables & quelqu'unes d’effrontées.","SOus le règne de Théodate la guerre qui durait depuis vingt ans n'empêchait point qu'on ne fît quelquefois l'amour, mais comme la Cour était remplie de vieux Cavaliers insensibles, ou de jeunes gents nés dans le bruit des armées et que ce métier avait rendu brutaux, cela avait fait la plupart des Dames un peu moins modestes qu'autrefois, et voyant qu'elles eussent langui dans l'oisiveté, si elles n'eussent fait des avances, ou du moins si elles avaient été cruelles, il y en avait beaucoup de pitoyables et quelqu'unes d'effrontées."
Bussy1665_HistoireAmoureuse_btv1b8623309s_corrected_numb_seg_origInReg_replace.tsv,1,quelqu'unes,"SOubs le regne de Theodate la guerre qui duroit depuis vingt ans n’empeſchoit point qu’on ne fiſt quelquefois l’amour, mais comme la Cour eſtoit remplie de vieux Cavalliers inſenſibles, ou de jeunes gens nés dans le bruit des armées & que ce meſtier avoit rendu brutaux, cela avoit fait la plus part des Dames un peu moins modeſtes qu’autrefois, & voyant qu’elles euſſent langui dans l'oiſiveté, ſi elles n’euſſent fait des advances, ou du moins ſi elles avoient eſté cruelles, il y en avoit beaucoup de pitoyables & quelqu'unes d’effrontées.","SOus le règne de Théodate la guerre qui durait depuis vingt ans n'empêchait point qu'on ne fît quelquefois l'amour, mais comme la Cour était remplie de vieux Cavaliers insensibles, ou de jeunes gents nés dans le bruit des armées et que ce métier avait rendu brutaux, cela avait fait la plupart des Dames un peu moins modestes qu'autrefois, et voyant qu'elles eussent langui dans l'oisiveté, si elles n'eussent fait des avances, ou du moins si elles avaient été cruelles, il y en avait beaucoup de pitoyables et quelqu'unes d'effrontées."
Bussy1665_HistoireAmoureuse_btv1b8623309s_corrected_numb_seg_origInReg_replace.tsv,5,d'Ardesile,"Lenix qui eſtoit homme de qualité & de grands biens fut receu agreablement de la mere d’Ardeſile, & n’eut pas le loiſir de soupirer pour des charmes, qui avoient fait deux ans durant les ſouhais de toute la cour, ce mariage eſtant achevé les amans qui avoient voulu eſtre mariés ſe retirerent, & il en vint d’autres qui ne vouloyent qu’aimer, un des premiers qui ſe preſenta fut Oroondate, a qui le voiſinage d’Ardeliſe donnoit plus de commodité de la voir, & cette raiſon fut cauſe qu’il l’aima aſſés longtemps ſans que l’on s'en aperceut, & je croy que cet amour euſt touſiours eſté caché, ſi Oroondate n’euſt jamais eu de rivaux, mais Candole eſtant devenu amoureux d’Ardeliſe deſcouvrit bientoſt ce qui eſtoit caché faute de gens intereſſés, ce n’eſt pas que Lenix n’aimaſt ſa femme, mais les maris s’aprivoiſent & jamais les amants, & la jalouſie de ceux cy eſt mille fois plus penetrante, que celle des autres, cela fit donc que Candole viſt des choſes que Lenix ne voyoit pas, & qu’il n’a jamais veves, car il eſt encor a ſcavoir qu’Oroondate aimaſt ſa femme.","Lenix qui était homme de qualité et de grands biens fut reçu agréablement de la mère d'Ardesile, et n'eut pas le loisir de soupirer pour des charmes, qui avaient fait deux ans durant les souhaits de toute la cour, ce mariage étant achevé les amants qui avaient voulu être mariés se retirèrent, et il en vint d'autres qui ne voulaient qu'aimer, un des premiers qui se présenta fut Oroondate, à qui le voisinage d'Ardélise donnait plus de commodité de la voir, et cette raison fut cause qu'il l'aima assez longtemps sans que l'on s'en aperçût, et je crois que cet amour eût toujours été caché, si Oroondate n'eût jamais eu de rivaux, mais Candole étant devenu amoureux d'Ardélise découvrit bientôt ce qui était caché faute de gens interessés, ce n'est pas que Lenix n'aimât sa femme, mais les maris s'apprivoisent et jamais les amants, et la jalousie de ceux-ci est mille fois plus pénétrante, que celle des autres, cela fit donc que Candole vit des choses que Lenix ne voyait pas, et qu'il n'a jamais vues, car il est encore à savoir qu'Oroondate aimât sa femme."
